step,train_loss,epoch
99,58.576812744140625,0
199,10.19255256652832,1
299,9.805807113647461,2
399,9.856508255004883,3
499,9.736876487731934,4
599,9.569397926330566,5
699,9.464238166809082,6
799,9.552040100097656,7
899,9.28859806060791,8
999,9.198347091674805,9
1099,9.181387901306152,10
1199,9.191585540771484,11
1299,9.146929740905762,12
1399,9.20331859588623,13
1499,9.17651081085205,14
1599,9.077815055847168,15
1699,9.2429838180542,16
1799,9.016393661499023,17
1899,9.166126251220703,18
1999,9.093904495239258,19
2099,9.11514949798584,20
2199,9.025594711303711,21
2299,9.010638236999512,22
2399,9.013936996459961,23
2499,9.119874000549316,24
2599,9.12895393371582,25
2699,9.190629005432129,26
2799,9.032057762145996,27
2899,9.028053283691406,28
2999,9.093910217285156,29
3099,9.070501327514648,30
3199,8.960174560546875,31
3299,9.032987594604492,32
3399,8.979581832885742,33
3499,9.213665008544922,34
3599,9.02943229675293,35
3699,9.053433418273926,36
3799,9.072875022888184,37
3899,9.049334526062012,38
3999,8.924176216125488,39
4099,9.066722869873047,40
4199,9.037788391113281,41
4299,9.038143157958984,42
4399,9.061073303222656,43
4499,9.029328346252441,44
4599,9.160788536071777,45
4699,9.055854797363281,46
4799,8.956009864807129,47
4899,8.992513656616211,48
4999,9.074182510375977,49
