epoch,train_loss,step
0,9.549327850341797,99
1,9.030445098876953,199
2,8.881874084472656,299
3,8.824753761291504,399
4,8.769916534423828,499
5,8.737504005432129,599
6,8.748565673828125,699
7,8.664573669433594,799
8,8.699666976928711,899
9,8.73217487335205,999
10,8.700417518615723,1099
11,8.621630668640137,1199
12,8.627002716064453,1299
13,8.733851432800293,1399
14,8.634598731994629,1499
15,8.651531219482422,1599
16,8.693279266357422,1699
17,8.657888412475586,1799
18,8.589350700378418,1899
19,8.65354061126709,1999
20,8.621417999267578,2099
21,8.558813095092773,2199
22,8.57824420928955,2299
23,8.604856491088867,2399
24,8.61723804473877,2499
25,8.609373092651367,2599
26,8.64364242553711,2699
27,8.621119499206543,2799
28,8.648147583007812,2899
29,8.531146049499512,2999
30,8.534494400024414,3099
31,8.611278533935547,3199
32,8.561628341674805,3299
33,8.612112998962402,3399
34,8.599485397338867,3499
35,8.601548194885254,3599
36,8.604105949401855,3699
37,8.527664184570312,3799
38,8.601846694946289,3899
39,8.549274444580078,3999
40,8.581701278686523,4099
41,8.658369064331055,4199
42,8.608440399169922,4299
43,8.553098678588867,4399
44,8.611037254333496,4499
45,8.6210355758667,4599
46,8.547362327575684,4699
47,8.558089256286621,4799
48,8.612187385559082,4899
49,8.602616310119629,4999
