step,train_loss,epoch
99,312417.46875,0
199,9.978652954101562,1
299,9.860472679138184,2
399,9.525936126708984,3
499,9.578502655029297,4
599,9.427635192871094,5
699,9.271312713623047,6
799,9.355827331542969,7
899,9.318967819213867,8
999,9.331587791442871,9
1099,9.281156539916992,10
1199,9.352651596069336,11
1299,9.278739929199219,12
1399,9.195810317993164,13
1499,9.149861335754395,14
1599,9.176990509033203,15
1699,9.079387664794922,16
1799,9.167540550231934,17
1899,9.148446083068848,18
1999,9.204710960388184,19
2099,9.150574684143066,20
2199,9.117104530334473,21
2299,9.087565422058105,22
2399,9.20150375366211,23
2499,9.173726081848145,24
2599,9.178659439086914,25
2699,9.042254447937012,26
2799,9.091623306274414,27
2899,9.088788032531738,28
2999,9.089079856872559,29
3099,9.090475082397461,30
3199,9.07492733001709,31
3299,9.058980941772461,32
3399,9.065930366516113,33
3499,9.03808879852295,34
3599,9.089704513549805,35
3699,9.084875106811523,36
3799,8.966732025146484,37
3899,9.059067726135254,38
3999,8.993953704833984,39
4099,9.031495094299316,40
4199,9.165921211242676,41
4299,9.057480812072754,42
4399,8.969245910644531,43
4499,9.087102890014648,44
4599,9.03063678741455,45
4699,9.014049530029297,46
4799,9.012893676757812,47
4899,8.926106452941895,48
4999,8.919118881225586,49
